Date,Open,High,Low,Close,Volume,daily_return,ma_5,ma_10,volatility_5,avg_news_sentiment,news_article_count,trend_score,trend_delta_7d,wiki_views,wiki_views_delta,combined_sentiment
2025-01-16,423.489990234375,424.0,409.1300048828125,413.82000732421875,68335200,-0.03362756026209679,407.2899963378906,402.65199584960936,0.044288663790492885,0.0,0,48,1.0,9184,-92.0,0.07840939819760218
2025-01-17,421.5,439.739990234375,419.75,426.5,94991400,0.030641323404759335,413.6419982910156,407.3739959716797,0.044605339064665316,0.0,0,49,3.2857142857142847,9324,225.85714285714312,0.20649529280587944
2025-01-21,432.6400146484375,433.20001220703125,406.30999755859375,424.07000732421875,87320900,-0.00569752092797482,417.79400024414065,408.73699645996095,0.04546156486579036,0.0,0,54,8.285714285714285,17488,6977.714285714286,1.3997408953725563
2025-01-22,416.80999755859375,428.0,414.5899963378906,415.1099853515625,60963300,-0.021128638710367298,421.54400024414065,409.1429962158203,0.046093181023389274,0.0,0,52,5.571428571428569,16005,4524.571428571429,0.9347174884750948
2025-01-23,416.05999755859375,420.7300109863281,408.95001220703125,412.3800048828125,50690600,-0.006576523247056931,418.3760009765625,410.9449981689453,0.024119517976445785,0.0,0,52,5.0,15366,3002.4285714285706,0.6852042158443722
2025-01-24,414.45001220703125,418.8800048828125,405.7799987792969,406.5799865722656,56427100,-0.014064741844588391,416.92799682617186,412.10899658203124,0.02001384459871232,0.0,0,59,10.57142857142857,13094,191.85714285714312,0.45690244825413395
2025-01-27,394.79998779296875,406.69000244140625,389.0,397.1499938964844,58125500,-0.023193450212053546,411.05799560546876,412.34999694824216,0.00805128907188155,0.0,0,48,-3.4285714285714306,11357,-2414.2857142857138,-0.4270119434661849
2025-01-28,396.9100036621094,400.5899963378906,386.5,398.0899963378906,48910700,0.0023668700890153715,405.86199340820315,411.8279968261719,0.010575457930140477,0.0,0,49,-1.7142857142857153,11032,-1817.0,-0.2768424330697867
2025-01-29,395.2099914550781,398.5899963378906,384.4800109863281,389.1000061035156,68033600,-0.02258280870425211,400.6599975585938,411.1019989013672,0.010886824874768056,0.0,0,59,7.285714285714285,10639,-1443.4285714285706,0.09513375162188678
2025-01-30,410.7799987792969,412.5,384.4100036621094,400.2799987792969,98092900,0.028732954254456988,398.2399963378906,408.30799865722656,0.02186155320821403,0.0,0,56,3.7142857142857153,10735,-685.8571428571431,0.08408064958911546
